Date,Close
12/10/2015 16:00:00,27.78
12/11/2015 16:00:00,27.5
12/14/2015 16:00:00,26.26
12/15/2015 16:00:00,26.5
12/16/2015 16:00:00,26.54
12/17/2015 16:00:00,28.01
12/18/2015 16:00:00,28.22
12/21/2015 16:00:00,29.35
12/22/2015 16:00:00,30.1
12/23/2015 16:00:00,28.49
12/24/2015 16:00:00,28.21
12/28/2015 16:00:00,28.9
12/29/2015 16:00:00,31.1
12/30/2015 16:00:00,30.21
12/31/2015 16:00:00,30.08
1/4/2016 16:00:00,27.41
1/5/2016 16:00:00,26.77
1/6/2016 16:00:00,27.05
1/7/2016 16:00:00,26.97
1/8/2016 16:00:00,27.17
1/11/2016 16:00:00,27.12
1/12/2016 16:00:00,26.82
1/13/2016 16:00:00,26.73
1/14/2016 16:00:00,26.84
1/15/2016 16:00:00,25.19
1/19/2016 16:00:00,24.02
1/20/2016 16:00:00,22.63
1/21/2016 16:00:00,24.24
1/22/2016 16:00:00,24.61
1/25/2016 16:00:00,23.67
1/26/2016 16:00:00,24.01
1/27/2016 16:00:00,22.28
1/28/2016 16:00:00,20.39
1/29/2016 16:00:00,20.77
2/1/2016 16:00:00,21.17
2/2/2016 16:00:00,21.34
2/3/2016 16:00:00,23.77
2/4/2016 16:00:00,24
2/5/2016 16:00:00,20.19
2/8/2016 16:00:00,17.92
2/9/2016 16:00:00,18.92
2/10/2016 16:00:00,20.06
2/11/2016 16:00:00,20.35
2/12/2016 16:00:00,20.1
2/16/2016 16:00:00,22.18
2/17/2016 16:00:00,23.35
2/18/2016 16:00:00,22
2/19/2016 16:00:00,22.13
2/22/2016 16:00:00,22.11
2/23/2016 16:00:00,22.51
2/24/2016 16:00:00,22.56
2/25/2016 16:00:00,23.54
2/26/2016 16:00:00,23.3
2/29/2016 16:00:00,23.77
3/1/2016 16:00:00,23.6
3/2/2016 16:00:00,24.16
3/3/2016 16:00:00,23
3/4/2016 16:00:00,23.02
3/7/2016 16:00:00,23.03
3/8/2016 16:00:00,22.36
3/9/2016 16:00:00,21.77
3/10/2016 16:00:00,22.22
3/11/2016 16:00:00,22.97
3/14/2016 16:00:00,22.73
3/15/2016 16:00:00,23.5
3/16/2016 16:00:00,24.19
3/17/2016 16:00:00,24.42
3/18/2016 16:00:00,23.24
3/21/2016 16:00:00,23.92
3/22/2016 16:00:00,24.69
3/23/2016 16:00:00,24.63
3/24/2016 16:00:00,23.82
3/28/2016 16:00:00,24.01
3/29/2016 16:00:00,24.11
3/30/2016 16:00:00,23.74
3/31/2016 16:00:00,25.15
4/1/2016 16:00:00,23.69
4/4/2016 16:00:00,24.1
4/5/2016 16:00:00,23.48
4/6/2016 16:00:00,23.55
4/7/2016 16:00:00,23.06
4/8/2016 16:00:00,23.24
4/11/2016 16:00:00,23.23
4/12/2016 16:00:00,23.11
4/13/2016 16:00:00,23.57
4/14/2016 16:00:00,22.94
4/15/2016 16:00:00,22.61
4/18/2016 16:00:00,23.3
4/19/2016 16:00:00,23.4
4/20/2016 16:00:00,23.61
4/21/2016 16:00:00,24.3
4/22/2016 16:00:00,23.82
4/25/2016 16:00:00,23.91
4/26/2016 16:00:00,24.1
4/27/2016 16:00:00,23.66
4/28/2016 16:00:00,23.19
4/29/2016 16:00:00,23.17
5/2/2016 16:00:00,24.17
5/3/2016 16:00:00,23.78
5/4/2016 16:00:00,23.28
5/5/2016 16:00:00,23.02
5/6/2016 16:00:00,21.83
5/9/2016 16:00:00,21.09
5/10/2016 16:00:00,21.81
5/11/2016 16:00:00,22.01
5/12/2016 16:00:00,21.58
5/13/2016 16:00:00,21.93
5/16/2016 16:00:00,22.03
5/17/2016 16:00:00,21.73
5/18/2016 16:00:00,22.12
5/19/2016 16:00:00,21.8
5/20/2016 16:00:00,22.69
5/23/2016 16:00:00,22.37
5/24/2016 16:00:00,22.82
5/25/2016 16:00:00,23.02
5/26/2016 16:00:00,22.91
5/27/2016 16:00:00,22.78
5/31/2016 16:00:00,22.57
6/1/2016 16:00:00,23.93
6/2/2016 16:00:00,24.95
6/3/2016 16:00:00,24.15
6/6/2016 16:00:00,24.36
6/7/2016 16:00:00,23.46
6/8/2016 16:00:00,23.79
6/9/2016 16:00:00,23.99
6/10/2016 16:00:00,23.84
6/13/2016 16:00:00,24.35
6/14/2016 16:00:00,24.52
6/15/2016 16:00:00,25.99
6/16/2016 16:00:00,25.5
6/17/2016 16:00:00,25.81
6/20/2016 16:00:00,26.26
6/21/2016 16:00:00,25.99
6/22/2016 16:00:00,26.19
6/23/2016 16:00:00,26.78
6/24/2016 16:00:00,25.9
6/27/2016 16:00:00,24.95
6/28/2016 16:00:00,25.38
6/29/2016 16:00:00,25.81
6/30/2016 16:00:00,25.9
7/1/2016 16:00:00,25.62
7/5/2016 16:00:00,26.17
7/6/2016 16:00:00,26.97
7/7/2016 16:00:00,26.58
7/8/2016 16:00:00,26.98
7/11/2016 16:00:00,27.22
7/12/2016 16:00:00,27.3
7/13/2016 16:00:00,27.11
7/14/2016 16:00:00,27.35
7/15/2016 16:00:00,27.4
7/18/2016 16:00:00,27.2
7/19/2016 16:00:00,27.51
7/20/2016 16:00:00,28.02
7/21/2016 16:00:00,27.73
7/22/2016 16:00:00,28.16
7/25/2016 16:00:00,28.4
7/26/2016 16:00:00,28.7
7/27/2016 16:00:00,29
7/28/2016 16:00:00,29.74
7/29/2016 16:00:00,29.97
8/1/2016 16:00:00,29.84
8/2/2016 16:00:00,29.33
8/3/2016 16:00:00,29.79
8/4/2016 16:00:00,30.04
8/5/2016 16:00:00,31.97
8/8/2016 16:00:00,30.49
8/9/2016 16:00:00,30.66
8/10/2016 16:00:00,29.95
8/11/2016 16:00:00,29.98
8/12/2016 16:00:00,30
8/15/2016 16:00:00,30.33
8/16/2016 16:00:00,29.95
8/17/2016 16:00:00,29.63
8/18/2016 16:00:00,29.71
8/19/2016 16:00:00,29.42
8/22/2016 16:00:00,28.97
8/23/2016 16:00:00,28.97
8/24/2016 16:00:00,28.74
8/25/2016 16:00:00,28.93
8/26/2016 16:00:00,28.94
8/29/2016 16:00:00,29.02
8/30/2016 16:00:00,29.7
8/31/2016 16:00:00,29.48
9/1/2016 16:00:00,29.97
9/2/2016 16:00:00,30.1
9/6/2016 16:00:00,30.42
9/7/2016 16:00:00,30.64
9/8/2016 16:00:00,30.67
9/9/2016 16:00:00,29.48
9/12/2016 16:00:00,30.23
9/13/2016 16:00:00,29.49
9/14/2016 16:00:00,29.73
9/15/2016 16:00:00,30.01
9/16/2016 16:00:00,30
9/19/2016 16:00:00,30.29
9/20/2016 16:00:00,30.26
9/21/2016 16:00:00,31.9
9/22/2016 16:00:00,31.36
9/23/2016 16:00:00,30.75
9/26/2016 16:00:00,30.02
9/27/2016 16:00:00,29.78
9/28/2016 16:00:00,30
9/29/2016 16:00:00,30.32
9/30/2016 16:00:00,29.97
10/3/2016 16:00:00,29.19
10/4/2016 16:00:00,28.72
10/5/2016 16:00:00,29.08
10/6/2016 16:00:00,28.85
10/7/2016 16:00:00,28.27
10/10/2016 16:00:00,28.46
10/11/2016 16:00:00,28.41
10/12/2016 16:00:00,28
10/13/2016 16:00:00,28.05
10/14/2016 16:00:00,28.42
10/17/2016 16:00:00,28.43
10/18/2016 16:00:00,28.91
10/19/2016 16:00:00,29.03
10/20/2016 16:00:00,28.7
10/21/2016 16:00:00,29.04
10/24/2016 16:00:00,29.25
10/25/2016 16:00:00,29.14
10/26/2016 16:00:00,28.77
10/27/2016 16:00:00,28.31
10/28/2016 16:00:00,27.2
10/31/2016 16:00:00,26.86
11/1/2016 16:00:00,27.19
11/2/2016 16:00:00,27.13
11/3/2016 16:00:00,26.94
11/4/2016 16:00:00,26.9
11/7/2016 16:00:00,27.44
11/8/2016 16:00:00,27.42
11/9/2016 16:00:00,27.32
11/10/2016 16:00:00,27.47
11/11/2016 16:00:00,27.49
11/14/2016 16:00:00,27.59
11/15/2016 16:00:00,27.91
11/16/2016 16:00:00,28.55
11/17/2016 16:00:00,29.36
11/18/2016 16:00:00,28.76
11/21/2016 16:00:00,27.91
11/22/2016 16:00:00,27.34
11/23/2016 16:00:00,27.41
11/25/2016 16:00:00,27.42
11/28/2016 16:00:00,27.22
11/29/2016 16:00:00,27.61
11/30/2016 16:00:00,27.14
12/1/2016 16:00:00,26.12
12/2/2016 16:00:00,25.23
12/5/2016 16:00:00,25.59
12/6/2016 16:00:00,25.58
12/7/2016 16:00:00,26.08
12/8/2016 16:00:00,26.53
12/9/2016 16:00:00,26.55
12/12/2016 16:00:00,25.64
12/13/2016 16:00:00,25.28
12/14/2016 16:00:00,24.89
12/15/2016 16:00:00,24.65
12/16/2016 16:00:00,24.19
12/19/2016 16:00:00,24.07
12/20/2016 16:00:00,24.61
12/21/2016 16:00:00,24.33
12/22/2016 16:00:00,24.05
12/23/2016 16:00:00,24.13
12/27/2016 16:00:00,24.31
12/28/2016 16:00:00,24.25
12/29/2016 16:00:00,24.26
12/30/2016 16:00:00,24.08
1/3/2017 16:00:00,24.6
1/4/2017 16:00:00,25.15
1/5/2017 16:00:00,24.97
1/6/2017 16:00:00,24.72
1/9/2017 16:00:00,25.03
1/10/2017 16:00:00,25.24
1/11/2017 16:00:00,26
1/12/2017 16:00:00,26.81
1/13/2017 16:00:00,26.91
1/17/2017 16:00:00,26.63
1/18/2017 16:00:00,27.2
1/19/2017 16:00:00,27.42
1/20/2017 16:00:00,28.03
1/23/2017 16:00:00,27.64
1/24/2017 16:00:00,27.93
1/25/2017 16:00:00,27.85
1/26/2017 16:00:00,27.77
1/27/2017 16:00:00,27.76
1/30/2017 16:00:00,27.61
1/31/2017 16:00:00,27.63
2/1/2017 16:00:00,28.02
2/2/2017 16:00:00,28.14
2/3/2017 16:00:00,28.16
2/6/2017 16:00:00,27.93
2/7/2017 16:00:00,28
2/8/2017 16:00:00,28.11
2/9/2017 16:00:00,28.26
2/10/2017 16:00:00,28.64
2/13/2017 16:00:00,28.92
2/14/2017 16:00:00,28.96
2/15/2017 16:00:00,29.62
2/16/2017 16:00:00,29.16
2/17/2017 16:00:00,29.89
2/21/2017 16:00:00,30.05
2/22/2017 16:00:00,29.42
2/23/2017 16:00:00,29.5
2/24/2017 16:00:00,29.27
2/27/2017 16:00:00,28.82
2/28/2017 16:00:00,28.44
3/1/2017 16:00:00,28.93
3/2/2017 16:00:00,28.6
3/3/2017 16:00:00,28.79
3/6/2017 16:00:00,28.63
3/7/2017 16:00:00,28.55
3/8/2017 16:00:00,28.63
3/9/2017 16:00:00,28.54
3/10/2017 16:00:00,28.67
3/13/2017 16:00:00,29.13
3/14/2017 16:00:00,28.92
3/15/2017 16:00:00,29.03
3/16/2017 16:00:00,29.39
3/17/2017 16:00:00,29.66
3/20/2017 16:00:00,29.45
3/21/2017 16:00:00,28.99
3/22/2017 16:00:00,29.18
3/23/2017 16:00:00,29.29
3/24/2017 16:00:00,29.43
3/27/2017 16:00:00,29.59
3/28/2017 16:00:00,29.81
3/29/2017 16:00:00,29.85
3/30/2017 16:00:00,29.83
3/31/2017 16:00:00,29.95
4/3/2017 16:00:00,29.74
4/4/2017 16:00:00,29.91
4/5/2017 16:00:00,30.11
4/6/2017 16:00:00,31.32
4/7/2017 16:00:00,31.32
4/10/2017 16:00:00,31.55
4/11/2017 16:00:00,31.22
4/12/2017 16:00:00,31.6
4/13/2017 16:00:00,31.23
4/17/2017 16:00:00,31.49
4/18/2017 16:00:00,31.59
4/19/2017 16:00:00,31.83
4/20/2017 16:00:00,31.27
4/21/2017 16:00:00,31.54
4/24/2017 16:00:00,32.02
4/25/2017 16:00:00,32.57
4/26/2017 16:00:00,32.82
4/27/2017 16:00:00,33.47
4/28/2017 16:00:00,34.48
5/1/2017 16:00:00,34.72
5/2/2017 16:00:00,34.94
5/3/2017 16:00:00,35.28
5/4/2017 16:00:00,36.53
5/5/2017 16:00:00,36.81
5/8/2017 16:00:00,36.82
5/9/2017 16:00:00,36.84
5/10/2017 16:00:00,37.18
5/11/2017 16:00:00,36.93
5/12/2017 16:00:00,36.84
5/15/2017 16:00:00,37.06
5/16/2017 16:00:00,36.9
5/17/2017 16:00:00,35.4
5/18/2017 16:00:00,35.34
5/19/2017 16:00:00,35.25
5/22/2017 16:00:00,35.56
5/23/2017 16:00:00,35.43
5/24/2017 16:00:00,35.9
5/25/2017 16:00:00,35.95
5/26/2017 16:00:00,35.58
5/30/2017 16:00:00,35.6
5/31/2017 16:00:00,35.76
6/1/2017 16:00:00,36.51
6/2/2017 16:00:00,36.74
6/5/2017 16:00:00,36.86
6/6/2017 16:00:00,37.71
6/7/2017 16:00:00,36.87
6/8/2017 16:00:00,37.21
6/9/2017 16:00:00,34.62
6/12/2017 16:00:00,34.57
6/13/2017 16:00:00,34.63
6/14/2017 16:00:00,34.63
6/15/2017 16:00:00,34.64
6/16/2017 16:00:00,34.79
